"id","V1","V2","V3"
"1",60.5,22.5,16.7
"2",46,40.1,13.5
"3",71,8.4,20.5
"4",72.8,5.9,20.7
"5",58.3,25.5,15.5
"6",44,42.7,13.7
"7",44,42.7,13.7
"8",69.3,10.6,19.3
"9",61.4,19.9,17.7
"10",61.4,19.9,17.7
"11",41.4,46,12.5
"12",76.6,0.9,21.2
"13",72.7,2.9,21.7
"14",71.4,3.5,21.5
"15",69.8,4,21.3
"16",74.5,5.2,20.2
"17",73.5,5.6,20
"18",74.1,6.3,19.2
"19",67.3,7.2,20.1
"20",71.8,7.8,20.2
"21",72.45,7.9,19.7
"22",71.6,9.2,18.7
"23",69.4,9.3,18.2
"24",67.9,10.2,21.5
"25",65.5,12.5,17
"26",64.6,13.5,16.7
"27",65.5,13.5,16.2
"28",61.4,14.6,15.8
"29",61.4,14.6,15.8
"30",66.2,16.3,17.5
"31",67.1,18.6,11.6
"32",60.5,20.9,17.2
"33",60.6,21.2,17.8
"34",60.6,25.1,11
"35",57.6,26.5,11.1
"36",53.5,27.8,13.2
"37",56,29.7,14.4
"38",50.3,30.4,19.2
"39",52.5,31.5,16
"40",49.5,35.2,15.2
"41",49.1,35.8,15.2
"42",42.2,43.8,13.3
"43",40.2,48.2,11
"44",39.5,48.5,12
"45",39.3,49.1,13.1
"46",72.5,8.2,19.3
"47",70.3,11,19.3
"48",76.6,0.9,21.2
"49",74,3.6,21.6
"50",75.1,3.9,21.2
"51",69.8,4,21.3
"52",74.6,5.1,19.6
"53",73.1,5.2,20.7
"54",74.5,5.2,20.2
"55",73.4,5.6,20.5
"56",74.2,5.6,19.5
"57",73.6,6,20.1
"58",72.5,6.4,20.9
"59",72.5,6.4,20.9
"60",72.7,6.4,20.4
"61",72.5,6.6,20.4
"62",72.5,6.6,20.4
"63",71.5,6.7,21.5
"64",72.6,6.8,19.6
"65",72.5,6.9,20.2
"66",69.1,7,20.5
"67",72.8,7.2,19.5
"68",72.7,7.2,18.9
"69",72.1,7.2,20.5
"70",71.6,7.7,20.7
"71",71.6,7.7,20.7
"72",70.8,7.7,20.8
"73",72,8.1,19.4
"74",71.2,8.4,19.7
"75",70.3,8.5,21
"76",69.5,9.6,20.1
"77",68.5,9.7,21.6
"78",70.5,9.7,19.2
"79",67.3,10.1,20.1
"80",69.3,10.1,20.5
"81",69.3,10.1,20.5
"82",69.4,10.9,19.1
"83",69.5,10.9,19.2
"84",67,11,21.8
"85",69,11.2,19.5
"86",72.9,11.2,13.7
"87",66.8,11.7,19
"88",68.6,12.7,17.8
